repo,category,subcat,stars,star_1d,star_1d_pct,star_7d,star_7d_pct,forks,description,top_devs,contributors,created_at,updated_at,downloads*
mosaicml/llm-foundry,Model development,Modeling & training,3961,1,0.03%,10,0.25%,521,LLM training code for Databricks foundation models,"dakinggg, vchiley, abhi-mosaic",90,2023-04-28,2024-09-11,0
suno-ai/bark,Model repo,Multimodal,35257,1,0.00%,87,0.25%,4135,🔊 Text-Prompted Generative Audio Model,"gkucsko, kmfreyberg, mcamac",16,2023-04-07,2023-05-01,0
microsoft/FLAML,AI engineering,AIE framework,3847,1,0.03%,9,0.23%,506,A fast library for AutoML and tuning. Join our Discord: https://discord.gg/Cppx2vSPVP.,"sonichi, skzhang1, liususan091219",85,2020-08-20,2024-09-06,0
Nutlope/restorePhotos,Applications,Image production,3852,1,0.03%,9,0.23%,589,Restoring old and blurry face photos with AI.,"Nutlope, ljwagerfield, Nick-h4ck3r",6,2023-01-08,2023-12-21,0
gpuweb/gpuweb,Infrastructure,Compute management,4756,1,0.02%,11,0.23%,314,Where the GPU for the Web work happens!,"kainino0x, dneto0, toji",100+,2017-02-10,2024-09-11,0
imoneoi/openchat,Model repo,,5212,1,0.02%,12,0.23%,397,OpenChat: Advancing Open-source Language Models with Imperfect Data,"imoneoi, AdaCheng, alpayariyak",15,2023-05-25,2024-05-24,0
mindsdb/mindsdb,AI engineering,AIE framework,26218,1,0.00%,60,0.23%,4797,The platform for building AI from enterprise data,"StpMax, ZoranPandovski, George3d6",100+,2018-08-02,2024-07-09,0
open-mmlab/mmdeploy,Infrastructure,Serving,2697,1,0.04%,6,0.22%,618,OpenMMLab Model Deployment Framework,"RunningLeon, AllentDan, grimoire",100+,2021-12-24,2022-10-27,34202
allegroai/clearml,Infrastructure,Serving,5564,1,0.02%,12,0.22%,644,"ClearML - Auto-Magical CI/CD to streamline your AI workload. Experiment Management, Data Management, Pipeline, Orchestration, Scheduling & Serving in one MLOps/LLMOps solution","alex-burlacu-clear-ml, pollfly, clearml-bot",94,2019-06-10,2024-08-24,2243
google-research/simclr,Model repo,,4050,1,0.02%,8,0.20%,624,SimCLRv2 - Big Self-Supervised Models are Strong Semi-Supervised Learners,"chentingpc, saxenasaurabh, williamFalcon",4,2020-03-10,2020-12-03,0
stochasticai/xTuring,Model development,Modeling & training,2583,1,0.04%,5,0.19%,201,"Build, customize and control you own LLMs. From data pre-processing to fine-tuning, xTuring provides an easy way to personalize open-source LLMs. Join our discord community: https://discord.gg/TgHXuSJEk6","StochasticRomanAgeev, tushar2407, sarthaklangde",18,2023-03-19,2024-03-31,0
open-mmlab/mmagic,Model development,Modeling & training,6853,1,0.01%,13,0.19%,1050,"OpenMMLab Multimodal Advanced, Generative, and Intelligent Creation Toolbox. Unlock the magic 🪄: Generative-AI (AIGC), easy-to-use APIs, awsome model zoo, diffusion models, for text-to-image generation, image/video restoration/enhancement, etc.","Yshuo-Li, hejm37, Z-Fran",100+,2019-08-23,2023-12-15,0
ShishirPatil/gorilla,Applications,Coding,11189,1,0.01%,21,0.19%,928,Gorilla: Training and Evaluating LLMs for Function Calls (Tool Calls),"HuanzhiMao, ShishirPatil, Fanjia-Yan",57,2023-05-19,2024-09-11,0
salesforce/CodeGen,Model repo,,4884,1,0.02%,9,0.18%,377,CodeGen is a family of open-source model for program synthesis. Trained on TPU-v4. Competitive with OpenAI Codex.,"enijkamp, rooa, bpucla",10,2022-03-28,2023-08-15,0
RayVentura/ShortGPT,Applications,Video production,5511,1,0.02%,10,0.18%,689,🚀🎬 ShortGPT - Experimental AI framework for youtube shorts / tiktok channel automation,"RayVentura, transonit, test12376",11,2023-06-27,2024-02-11,0
SuperDuperDB/superduperdb,Infrastructure,Data management,4643,1,0.02%,8,0.17%,448,"Superduper: Integrate AI models and machine learning workflows with your database to implement custom AI applications, without moving your data. Including streaming inference, scalable model hosting, training and vector search.","blythed, kartik4949, rec",43,2022-08-30,2024-09-11,70
ashawkey/stable-dreamfusion,Model repo,Multimodal,8153,1,0.01%,14,0.17%,719,Text-to-3D & Image-to-3D & Mesh Exportation with NeRF + Diffusion.,"ashawkey, claforte, abesmon",17,2022-10-06,2023-05-17,0
young-geng/EasyLM,Model development,Modeling & training,2357,1,0.04%,4,0.17%,252,"Large language models (LLMs) made easy, EasyLM is a one stop solution for pre-training, finetuning, evaluating and serving LLMs in JAX/Flax.","young-geng, Yulv-git, syzymon",9,2022-11-22,2023-08-13,0
mistralai/mistral-src,Model repo,,9499,1,0.01%,16,0.17%,837,Official inference library for Mistral models,"patrickvonplaten, timlacroix, pandora-s-git",23,2023-09-27,2024-08-22,0
OpenPipe/OpenPipe,Model development,Modeling & training,2467,1,0.04%,4,0.16%,127,Turn expensive prompts into cheap fine-tuned models,"corbt, arcticfly, Kovbo",12,2023-06-20,2024-03-19,0
mit-han-lab/streaming-llm,AI engineering,Prompt engineering,6530,1,0.02%,10,0.15%,363,[ICLR 2024] Efficient Streaming Language Models with Attention Sinks,"Guangxuan-Xiao, songhan, cosmojg",5,2023-09-29,2023-10-05,0
georgia-tech-db/evadb,Applications,Coding,2626,1,0.04%,4,0.15%,262,Database system for AI-powered apps,"gaurav274, jarulraj, xzdandy",63,2018-09-10,2023-12-03,408170
microsoft/torchscale,Model development,Modeling & training,3002,1,0.03%,4,0.13%,201,Foundation Architecture for (M)LLMs,"shumingma, gitnlp, donglixp",15,2022-11-17,2023-12-25,0
artidoro/qlora,Model development,Modeling & training,9901,1,0.01%,13,0.13%,816,QLoRA: Efficient Finetuning of Quantized LLMs,"artidoro, TimDettmers, tobi",15,2023-05-11,2023-07-24,0
google-research/text-to-text-transfer-transformer,Model repo,,6107,1,0.02%,8,0.13%,751,"Code for the paper ""Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer""","adarob, sharannarang, hwchung27",56,2019-10-17,2024-06-28,0
yoheinakajima/babyagi,AI engineering,Agent,19919,1,0.01%,26,0.13%,2609,,"francip, yoheinakajima, MalikMAlna",83,2023-04-03,2024-05-13,0
THUDM/GLM,Model development,Modeling & training,3159,1,0.03%,4,0.13%,321,GLM (General Language Model),"duzx16, thomas0809, tuteng0915",11,2021-03-18,2022-12-28,0
baaivision/Painter,Model repo,,2494,1,0.04%,3,0.12%,168,Painter & SegGPT Series: Vision Foundation Models from BAAI,"WXinlong, zhangxiaosong18, caoyue10",4,2022-12-05,2023-07-06,0
gofireflyio/aiac,Applications,Coding,3418,1,0.03%,4,0.12%,267,Artificial Intelligence Infrastructure-as-Code Generator.,"ido50, liavyona, goreleaserbot",8,2022-12-07,2024-05-20,7462
Pythagora-io/gpt-pilot,Applications,Coding,29519,1,0.00%,34,0.12%,2938,The first real AI developer,"LeonOstrez, nalbion, senko",44,2023-08-16,2024-08-06,0
lk-geimfari/mimesis,AI engineering,Dataset engineering,4391,1,0.02%,5,0.11%,330,Mimesis is a robust data generator for Python that can produce a wide range of fake data in multiple languages.,"lk-geimfari, dependabot-preview[bot], sobolevn",100+,2016-09-09,2021-07-15,635
shobrook/adrenaline,Applications,Coding,3778,1,0.03%,4,0.11%,318,Instant answers to any programming question,"shobrook, Mbladra, waqaspathan00",7,2022-12-07,2023-08-24,0
alpa-projects/alpa,Model development,Modeling & training,3044,1,0.03%,3,0.10%,353,Training and serving large-scale neural networks with auto parallelization.,"merrymercy, zhisbug, ZYHowell",43,2021-02-22,2023-12-09,5137
jina-ai/jina,Infrastructure,Toolings,20889,1,0.00%,20,0.10%,2218,☁️ Build multimodal AI applications with cloud-native stack,"hanxiao, JoanFM, nan-wang",100+,2020-02-13,2024-09-10,0
microsoft/BioGPT,Model repo,,4281,1,0.02%,4,0.09%,449,,"renqianluo, microsoftopensource, katielink",9,2022-08-15,2023-02-13,0
google-deepmind/graphcast,Model development,Modeling & training,4499,1,0.02%,4,0.09%,559,,"voctav, alvarosg, tewalds",7,2023-07-14,2024-01-03,0
databricks/dbrx,Model repo,,2497,1,0.04%,2,0.08%,236,"Code examples and resources for DBRX, a large language model developed by Databricks","bandish-shah, hanlint, asnelling",7,2024-03-26,2024-04-19,0
SawyerHood/draw-a-ui,Applications,Coding,13182,1,0.01%,10,0.08%,1587,Draw a mockup and generate html for it,"SawyerHood, shtepcell, 0x-sen",4,2023-11-07,2023-11-13,0
lucidrains/imagen-pytorch,Model repo,Multimodal,7995,1,0.01%,6,0.08%,757,"Implementation of Imagen, Google's Text-to-Image Neural Network, in Pytorch","lucidrains, Netruk44, animebing",20,2022-05-23,2024-01-08,0
smol-ai/developer,AI engineering,Agent,11795,1,0.01%,8,0.07%,1027,the first library to let you embed a developer agent in your own app!,"swyxio, thatliuser, jakubno",19,2023-05-13,2023-09-25,0
codota/TabNine,Applications,Coding,10552,1,0.01%,7,0.07%,490,AI Code Completions,"zxqfl, dimacodota, amircodota",18,2018-11-06,2024-07-03,0
facebookresearch/codellama,Model repo,,15851,1,0.01%,10,0.06%,1840,Inference code for CodeLlama models,"jspisak, jgehring, mpu",11,2023-08-24,2024-05-21,0
kuafuai/DevOpsGPT,Applications,Coding,6473,1,0.02%,4,0.06%,830,Multi agent system for AI-driven software development. Combine LLM with DevOps tools to convert natural language requirements into working software. Supports any development language and extends the existing code.,"booboosui, yakeJiang, charging-kuafuai",13,2023-07-12,2023-12-12,0
microsoft/JARVIS,AI engineering,Agent,23530,1,0.00%,13,0.06%,1960,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf","tricktreat, siyuyuan, StillKeepTry",23,2023-03-30,2024-01-05,0
tensorflow/serving,Infrastructure,Serving,6159,1,0.02%,3,0.05%,2190,"A flexible, high-performance serving system for machine learning models","kirilg, netfs, vinuraja",100+,2016-01-26,2024-07-19,0
THUDM/ChatGLM3,Model repo,Multilingual,13313,1,0.01%,6,0.05%,1545,ChatGLM3 series: Open Bilingual Chat LLMs | 开源双语对话语言模型,"zRzRzRzRzRzRzR, duzx16, Btlmd",36,2023-10-26,2024-07-10,0
THUDM/GLM-130B,Model repo,Multilingual,7655,1,0.01%,3,0.04%,607,GLM-130B: An Open Bilingual Pre-Trained Model (ICLR 2023),"Sengxian, Xiao9905, duzx16",6,2022-08-03,2022-10-01,0
FlagAI-Open/FlagAI,Model development,Modeling & training,3818,1,0.03%,1,0.03%,415,"FlagAI (Fast LArge-scale General AI models) is a fast, easy-to-use and extensible toolkit for large-scale model.","ftgreat, BAAI-OpenPlatform, shunxing1234",31,2022-05-16,2024-02-05,0
lencx/nofwl,Applications,Bots,4250,1,0.02%,1,0.02%,397,NoFWL Desktop Application,"lencx, RoyalCrafter, razvanazamfirei",11,2023-02-22,2023-05-05,85442
microsoft/DeepSpeedExamples,Tutorials,,5980,1,0.02%,0,0.00%,1014,Example models using DeepSpeed,"lekurile, jeffra, awan-10",71,2020-01-29,2024-09-10,0
THUDM/ChatGLM2-6B,Model repo,Multilingual,15680,1,0.01%,0,0.00%,1852,ChatGLM2-6B: An Open Bilingual Chat LLM | 开源双语对话语言模型,"duzx16, qinjx, hiyouga",12,2023-06-24,2024-06-27,0
YiVal/YiVal,AI engineering,Prompt engineering,2616,0,0.00%,40,1.53%,426,Your Automatic Prompt Engineering Assistant for GenAI Applications,"yje-arch, crazycth, uni-zhuan",44,2023-07-15,2024-02-06,0
Deeptrain-Community/chatnio,AI engineering,AIE framework,2990,0,0.00%,38,1.27%,474,🚀 Next Generation AI One-Stop Internationalization Solution. 🚀 下一代 AI 一站式 B/C 端解决方案，支持 OpenAI，Midjourney，Claude，讯飞星火，Stable Diffusion，DALL·E，ChatGLM，通义千问，腾讯混元，360 智脑，百川 AI，火山方舟，新必应，Gemini，Moonshot 等模型，支持对话分享，自定义预设，云端同步，模型市场，支持弹性计费和订阅计划模式，支持图片解析，支持联网搜索，支持模型缓存，丰富美观的后台管理与仪表盘数据统计。,"zmh-program, Sh1n3zZ, XiaomaiTX",9,2023-07-17,2024-09-03,455
X-PLUG/MobileAgent,Model repo,Multimodal,2661,0,0.00%,19,0.72%,243,Mobile-Agent: The Powerful Mobile Device Operation Assistant Family,"junyangwang0410, zhangxi1997, kx-kexi",9,2024-01-26,2024-09-03,0
shibing624/MedicalGPT,Model development,Modeling & training,3182,0,0.00%,18,0.57%,484,MedicalGPT: Training Your Own Medical GPT Model with ChatGPT Training Pipeline. 训练医疗大模型，实现了包括增量预训练(PT)、有监督微调(SFT)、RLHF、DPO、ORPO。,"shibing624, ZhuangXialie, princepride",10,2023-06-02,2024-08-25,0
lonePatient/awesome-pretrained-chinese-nlp-models,Lists,,4711,0,0.00%,24,0.51%,460,Awesome Pretrained Chinese NLP Models，高质量中文预训练模型&大模型&多模态模型&大语言模型集合,"lonePatient, sliderSun, yangapku",6,2019-05-25,2023-12-27,0
hegelai/prompttools,AI engineering,Prompt engineering,2621,0,0.00%,13,0.50%,228,"Open-source tools for prompt testing and experimentation, with support for both LLMs (e.g. OpenAI, LLaMA) and vector databases (e.g. Chroma, Weaviate, LanceDB).","steventkrawczyk, NivekT, HashemAlsaket",12,2023-06-25,2024-03-29,22
InternLM/InternLM-XComposer,Model repo,Multimodal,2432,0,0.00%,10,0.41%,150,InternLM-XComposer-2.5: A Versatile Large Vision Language Model Supporting Long-Contextual Input and Output,"myownskyW7, panzhang0212, xiaoachen98",15,2023-09-26,2024-04-23,0
zenml-io/zenml,Infrastructure,Compute management,3924,0,0.00%,16,0.41%,427,ZenML 🙏: The bridge between ML and Ops. https://zenml.io.,"htahir1, strickvl, bcdurak",94,2020-11-19,2024-09-11,1
state-spaces/s4,Model repo,,2352,0,0.00%,9,0.38%,283,Structured state space sequence models,"albertfgu, krandiash, ad12",8,2021-11-03,2023-07-11,0
lavague-ai/LaVague,Applications,Workflow automation,5273,0,0.00%,20,0.38%,470,Large Action Model framework to develop AI Web Agents,"lyie28, JoFrost, mbrunel",24,2024-02-26,2024-09-11,0
huggingface/autotrain-advanced,Model development,Modeling & training,3771,0,0.00%,14,0.37%,465,🤗 AutoTrain Advanced,"abhishekkrthakur, SBrandeis, liveaverage",22,2020-12-15,2024-09-02,0
Netflix/metaflow,Infrastructure,Compute management,8026,0,0.00%,28,0.35%,752,":rocket: Build and manage real-life ML, AI, and data science projects with ease!","savingoyal, romain-intel, saikonen",90,2019-09-17,2024-09-11,0
luban-agi/Awesome-AIGC-Tutorials,Tutorials,,3752,0,0.00%,13,0.35%,252,"Curated tutorials and resources for Large Language Models, AI Painting, and more. ",zht1130,1,2023-08-22,1000-01-01,0
openai/openai-python,AI engineering,AI interface,21955,0,0.00%,76,0.35%,3025,The official Python library for the OpenAI API,"stainless-app[bot], RobertCraigie, hallacy",100+,2020-10-25,2024-09-10,0
turboderp/exllama,Model development,Inference optimization,2728,0,0.00%,9,0.33%,214,A more memory-efficient rewrite of the HF transformers implementation of Llama for use with quantized weights.,"turboderp, QuarticCat, Kerushii",15,2023-05-04,2023-09-11,0
princeton-nlp/tree-of-thought-llm,AI engineering,Prompt engineering,4556,0,0.00%,15,0.33%,426,[NeurIPS 2023] Tree of Thoughts: Deliberate Problem Solving with Large Language Models,"ysymyth, karthikncode, nirabo",5,2023-05-17,2023-07-05,0
snakers4/silero-models,Model repo,Multimodal,4847,0,0.00%,14,0.29%,300,"Silero Models: pre-trained speech-to-text, text-to-speech and text-enhancement models made embarrassingly simple","snakers4, Islanna, evrrn",13,2020-09-11,2023-10-18,0
Instruction-Tuning-with-GPT-4/GPT-4-LLM,Model development,Dataset engineering,4163,0,0.00%,12,0.29%,299,Instruction Tuning with GPT-4,"ChunyuanLI, Instruction-Tuning-with-GPT-4, 152334H",5,2023-04-06,2023-04-08,0
OthersideAI/self-operating-computer,Applications,Workflow automation,8575,0,0.00%,24,0.28%,1132,A framework to enable multimodal models to operate a computer.,"joshbickett, michaelhhogue, klxu03",24,2023-11-04,2024-05-16,0
joonspk-research/generative_agents,Applications,Bots,16207,0,0.00%,42,0.26%,2078,Generative Agents: Interactive Simulacra of Human Behavior,"joonspk-research, tripathiarpan20, eltociear",5,2023-07-23,2023-08-11,0
a16z-infra/ai-town,Applications,Bots,7365,0,0.00%,19,0.26%,677,"A MIT-licensed, deployable starter kit for building and customizing your own version of AI town - a virtual town where AI characters live, chat and socialize.","ianmacartney, sujayakar, ykhli",36,2023-07-16,2024-07-03,0
dataelement/bisheng,AI engineering,AIE framework,8578,0,0.00%,22,0.26%,1599,"BISHENG is an open LLM devops platform for next generation Enterprise AI applications. Powerful and comprehensive features include: GenAI workflow, RAG, Agent, Unified model management, Evaluation, SFT, Dataset Management, Enterprise-level System Management, Observability and more.","yaojin3616, zgqgit, dolphin0618",23,2023-08-28,2024-09-11,0
promptslab/Promptify,AI engineering,Prompt engineering,3192,0,0.00%,8,0.25%,236,"Prompt Engineering | Prompt Versioning | Use GPT or other prompt based models to get structured output. Join our discord for Prompt-Engineering, LLMs and other latest research","monk1337, kamalkraj, eren23",11,2022-12-12,2023-07-11,0
eth-sri/lmql,AI engineering,Prompt engineering,3604,0,0.00%,9,0.25%,194,A language for constraint-guided and efficient LLM programming.,"lbeurerkellner, Viehzeug, charles-dyfis-net",35,2022-11-24,2024-05-09,0
sensity-ai/dot,Applications,Image production,4071,0,0.00%,10,0.25%,397,The Deepfake Offensive Toolkit,"ajndkr, Ghassen-Chaabouni, giorgiop",6,2022-06-04,2024-06-14,5397
FreedomIntelligence/LLMZoo,AI engineering,AIE framework,2920,0,0.00%,7,0.24%,198,"⚡LLM Zoo is a project that provides data, models, and evaluation benchmark for large language models.⚡","zhjohnchan, wabyking, fjiangAI",9,2023-04-01,2023-07-25,0
ParisNeo/lollms-webui,AI engineering,AI interface,4214,0,0.00%,10,0.24%,535,Lord of Large Language Models Web User Interface,"ParisNeo, andzejsp, blasphemousjohn",38,2023-04-06,2024-09-05,5422
alexrudall/ruby-openai,AI engineering,AI interface,2701,0,0.00%,6,0.22%,317,OpenAI API + Ruby! 🤖❤️ NEW: Assistant Vector Stores,"alexrudall, dependabot-preview[bot], willywg",56,2020-08-03,2024-07-25,0
BuilderIO/gpt-crawler,Model development,Dataset engineering,18473,0,0.00%,41,0.22%,1955,Crawl a site to generate knowledge files to create your own custom GPT from a URL,"steve8708, marcelovicentegc, guillermoscript",28,2023-11-14,2024-08-06,0
eugeneyan/open-llms,Lists,,10897,0,0.00%,24,0.22%,693,📋 A list of open LLMs available for commercial use.,"eugeneyan, ozppupbg, Muhtasham",29,2023-05-05,2024-05-25,0
aisingapore/TagUI,Applications,Workflow automation,5561,0,0.00%,12,0.22%,579,Free RPA tool by AI Singapore,"kensoh, siowyisheng, ruthtxh",18,2016-12-06,2024-09-06,79032
01-ai/Yi,Model repo,,7595,0,0.00%,16,0.21%,467,A series of large language models trained from scratch by developers @01-ai,"Haijian06, Mia-xia, Yimi81",45,2023-11-03,2024-09-06,0
modularml/mojo,Model development,Modeling & training,22837,0,0.00%,47,0.21%,2577,The Mojo Programming Language,"abduld, JoeLoser, lattner",100+,2023-04-28,2024-09-10,0
PKU-YuanGroup/Open-Sora-Plan,Model repo,Multimodal,11233,0,0.00%,23,0.20%,1004,"This project aim to reproduce Sora (Open AI T2V model), we wish the open source community contribute to this project.","LinB203, qqingzheng, clownrat6",34,2024-02-20,2024-09-02,0
botpress/botpress,AI engineering,Agent,12499,0,0.00%,24,0.19%,1737,The open-source hub to build & deploy GPT/LLM Agents ⚡️,"franklevasseur, AbrahamLopez10, michaelmass",21,2016-11-16,2024-09-11,0
facebookresearch/jepa,Model repo,,2607,0,0.00%,5,0.19%,249,PyTorch code and models for V-JEPA self-supervised learning from video.,"MidoAssran, bryant1410, orena1",5,2024-02-12,2024-03-01,0
nashsu/FreeAskInternet,Applications,Info aggregation,8448,0,0.00%,16,0.19%,879,"FreeAskInternet is a completely free, PRIVATE and LOCALLY running search aggregator & answer generate using MULTI LLMs, without GPU needed. The user can ask a question and the system will  make a multi engine search and combine the search result to LLM and generate the answer based on search results. It's all FREE to use. ",nashsu,1,2024-04-05,1000-01-01,0
google-deepmind/alphatensor,Model development,Modeling & training,2669,0,0.00%,5,0.19%,232,,matejbalog,1,2022-09-22,1000-01-01,0
karpathy/minbpe,Model development,Dataset engineering,9018,0,0.00%,16,0.18%,830,"Minimal, clean code for the Byte Pair Encoding (BPE) algorithm commonly used in LLM tokenization.","karpathy, ViswanathaReddyGajjala, ahmedivy",10,2024-02-16,2024-04-22,0
google/BIG-bench,AI engineering,Evals,2806,0,0.00%,4,0.14%,583,Beyond the Imitation Game collaborative benchmark for measuring and extrapolating the capabilities of language models,"Sohl-Dickstein, sarahadlerrous, guygurari",100+,2021-01-15,2023-06-13,0
google-research/frame-interpolation,Model repo,Multimodal,2811,0,0.00%,4,0.14%,282,"FILM: Frame Interpolation for Large Motion, In ECCV 2022.","fitsumreda, chenxwh, AK391",5,2022-01-12,2022-12-22,0
carson-katri/dream-textures,Applications,Image production,7767,0,0.00%,11,0.14%,415,Stable Diffusion built-in to Blender,"carson-katri, NullSenseStudio, blastframe",13,2022-09-08,2024-08-25,204237
google-deepmind/dm-haiku,Model development,Modeling & training,2860,0,0.00%,4,0.14%,232,JAX-based neural network library,"tomhennigan, LenaMartens, trevorcai",73,2020-02-18,2024-09-11,0
morph-labs/rift,Applications,Coding,3068,0,0.00%,4,0.13%,149,Rift: an AI-native language server for your personal AI software engineer,"cristianoc, jesse-michael-han, EdAyers",12,2023-06-14,2023-10-19,1511
project-baize/baize-chatbot,Model repo,,3154,0,0.00%,4,0.13%,278,Let ChatGPT teach your own chatbot in hours with a single GPU!,"JetRunner, guoday, dnouri",5,2023-03-31,2023-04-19,553
THUDM/VisualGLM-6B,Model repo,Multimodal,4071,0,0.00%,5,0.12%,414,Chinese and English multimodal conversational language model | 多模态中英双语对话语言模型,"Sleepychord, 1049451037, lykeven",8,2023-04-23,2023-05-31,0
chathub-dev/chathub,AI engineering,AI interface,9932,0,0.00%,12,0.12%,1006,All-in-one chatbot client,"wong2, okkidwi, 10cl",12,2023-03-04,2024-01-19,43580
openchatai/OpenCopilot,Applications,Workflow automation,5033,0,0.00%,6,0.12%,390,🤖 🔥 Language-to-actions engine ,"faltawy, gharbat, codebanesr",16,2023-08-12,2024-08-29,0
bigscience-workshop/promptsource,AI engineering,Prompt engineering,2642,0,0.00%,3,0.11%,346,"Toolkit for creating, sharing and using natural language prompts.","VictorSanh, stephenbach, craffel",62,2021-05-19,2023-10-23,0
ConnectAI-E/Feishu-OpenAI,Applications,Bots,5487,0,0.00%,6,0.11%,957,🎒 飞书  ×（GPT-4 + GPT-4V + DALL·E-3 + Whisper）=  飞一般的工作体验  🚀 语音对话、角色扮演、多话题讨论、图片创作、表格分析、文档导出 🚀,"Leizhenpeng, DDMeaqua, aaakoako",32,2023-02-07,2023-11-20,2974
GaiZhenbiao/ChuanhuChatGPT,AI engineering,AI interface,15145,0,0.00%,16,0.11%,2284,"GUI for ChatGPT API and many LLMs. Supports agents, file-based QA, GPT finetuning and query with web search. All with a neat UI.","GaiZhenbiao, Keldos-Li, MZhao-ouo",51,2023-03-02,2024-09-11,1389
NVIDIA/DALI,Model repo,,5062,0,0.00%,5,0.10%,615,A GPU-accelerated library containing highly optimized building blocks and an execution engine for data processing to accelerate deep learning training and inference applications.,"JanuszL, mzient, jantonguirao",88,2018-06-01,2024-09-11,0
yihong0618/bilingual_book_maker,Applications,Workflow automation,7295,0,0.00%,7,0.10%,1042,Make bilingual epub books Using AI translate,"yihong0618, hleft, mkXultra",55,2023-03-02,2024-08-24,0
jaymody/picoGPT,Model repo,,3180,0,0.00%,3,0.09%,408,An unnecessarily tiny implementation of GPT-2 in NumPy.,"jaymody, certik, aletheap",5,2023-01-21,2023-04-04,0
josStorer/chatGPTBox,Applications,Info aggregation,9871,0,0.00%,9,0.09%,738,"Integrating ChatGPT into your browser deeply, everything you need is here","josStorer, PeterDaveHello, okkidwi",39,2023-03-15,2024-07-30,36608
FMInference/FlexGen,Infrastructure,Serving,9130,0,0.00%,8,0.09%,540,Running large language models on a single GPU for throughput-oriented scenarios.,"Ying1123, merrymercy, zhangce",18,2023-02-15,2023-07-07,0
openai/glide-text2im,Model repo,Multimodal,3525,0,0.00%,3,0.09%,500,GLIDE: a diffusion-based text-conditional image synthesis model,"unixpickle, prafullasd, lochiego",4,2021-12-10,2022-03-21,0
LC1332/Luotuo-Chinese-LLM,Model repo,Multilingual,3630,0,0.00%,3,0.08%,247,骆驼(Luotuo): Open Sourced Chinese Language Models. Developed by 陈启源 @ 华中师范大学 & 李鲁鲁 @ 商汤科技 & 冷子昂 @ 商汤科技,"LC1332, qychen2001, SirlyDreamer",5,2023-03-21,2023-05-10,0
wenda-LLM/wenda,AI engineering,AIE framework,6230,0,0.00%,5,0.08%,810,闻达：一个LLM调用平台。目标为针对特定环境的高效内容生成，同时考虑个人和中小企业的计算资源局限性，以及知识安全和私密性问题,"l15y, diannaojiang, AlanLee1996",28,2023-03-25,2024-07-17,0
paperswithcode/galai,Model repo,,2674,0,0.00%,2,0.07%,275,Model API for GALACTICA,"RJT1990, rstojnic, AnthonyHartshorn",6,2022-11-15,2022-12-09,0
OptimalScale/LMFlow,Model development,Modeling & training,8206,0,0.00%,6,0.07%,819,An Extensible Toolkit for Finetuning and Inference of Large Foundation Models. Large Models for All.,"research4pan, shizhediao, hendrydong",35,2023-03-27,2024-08-10,0
dotnet/machinelearning,Model development,Modeling & training,8990,0,0.00%,6,0.07%,1879,ML.NET is an open source and cross-platform machine learning framework for .NET.,"codemzs, michaelgsharp, Ivanidzo4ka",100+,2018-05-03,2024-09-09,0
google-research/albert,Model repo,,3233,0,0.00%,2,0.06%,570,ALBERT: A Lite BERT for Self-supervised Learning of Language Representations,"0x0539, Danny-Google, albert-copybara",15,2019-11-26,2022-04-25,0
spdustin/ChatGPT-AutoExpert,AI engineering,Prompt engineering,6585,0,0.00%,4,0.06%,454,🚀🧠💬 Supercharged Custom Instructions for ChatGPT (non-coding) and ChatGPT Advanced Data Analysis (coding). ,"spdustin, michaelskyba, Sanyam-2026",6,2023-09-29,2024-01-17,0
joshpxyne/gpt-migrate,Applications,Coding,6802,0,0.00%,4,0.06%,478,Easily migrate your codebase from one framework or language to another.,"joshpxyne, MkuuWaUjinga, sandys",5,2023-06-24,2023-09-07,0
Kent0n-Li/ChatDoctor,Applications,Bots,3446,0,0.00%,2,0.06%,402,,"Kent0n-Li, saharmor",2,2023-03-21,2023-03-30,0
EssayKillerBrain/WriteGPT,Applications,Writing,5306,0,0.00%,3,0.06%,915,基于开源GPT2.0的初代创作型人工智能 | 可扩展、可进化,"Y1ran, trustyboy, TrellixVulnTeam",3,2020-09-29,2023-02-16,0
olivia-ai/olivia,Applications,Bots,3674,0,0.00%,2,0.05%,353,💁‍♀️Your new best friend powered by an artificial neural network,"hugolgst, Aury88, A-Yamout",16,2018-06-05,2021-02-25,0
deep-floyd/IF,Model repo,Multimodal,7637,0,0.00%,4,0.05%,497,,"shonenkov, zeroshot-ai, apolinario",8,2023-01-20,2023-06-02,0
Lightning-AI/lit-llama,Model repo,,5954,0,0.00%,3,0.05%,518,"Implementation of the LLaMA language model based on nanoGPT. Supports flash attention, Int8 and GPTQ 4bit quantization, LoRA and LLaMA-Adapter fine-tuning, pre-training. Apache 2.0-licensed.","carmocca, lantiga, awaelchli",31,2023-03-22,2024-09-06,0
Moonvy/OpenPromptStudio,AI engineering,Prompt engineering,5953,0,0.00%,3,0.05%,705,🥣 AIGC 提示词可视化编辑器  | OPS | Open Prompt Studio,"yArna, sinlov, 0xLLLLH",8,2023-03-25,2023-04-24,0
